index,country,year,month,indicator,gwh
107,EST,2008,12,Consumption,0.000622246819585817
108,FIN,2008,1,Consumption,0.0016629656459076383
109,FIN,2008,2,Consumption,0.001497158410275607
110,FIN,2008,3,Consumption,0.001558136326671496
111,FIN,2008,4,Consumption,0.0013550648087975324
112,FIN,2008,5,Consumption,0.0012782778029656722
113,FIN,2008,6,Consumption,0.001146911797890578
114,FIN,2008,7,Consumption,0.0011721310596098655
115,FIN,2008,8,Consumption,0.0012293449070924281
116,FIN,2008,9,Consumption,0.0012489180654417257
117,FIN,2008,10,Consumption,0.0013654159983091801
118,FIN,2008,11,Consumption,0.001418112963095751
119,FIN,2008,12,Consumption,0.0014077617735841032
120,FRA,2008,1,Consumption,0.0007749492945726243
121,FRA,2008,2,Consumption,0.0007032807362122368
122,FRA,2008,3,Consumption,0.0007239083576909092
123,FRA,2008,4,Consumption,0.0006433239448660956
124,FRA,2008,5,Consumption,0.0005496142759046269
125,FRA,2008,6,Consumption,0.0005403411659477236
126,FRA,2008,7,Consumption,0.000556852582839161
127,FRA,2008,8,Consumption,0.0005105336315971421
128,FRA,2008,9,Consumption,0.0005535440863218739
129,FRA,2008,10,Consumption,0.0006298880317794604
130,FRA,2008,11,Consumption,0.0006881517427482105
131,FRA,2008,12,Consumption,0.0008012308725409327
132,HUN,2008,1,Consumption,0.00037646236551855774
133,HUN,2008,2,Consumption,0.0003456799175309329
134,HUN,2008,3,Consumption,0.00034986393958750324
135,HUN,2008,4,Consumption,0.0003303385033235082
136,HUN,2008,5,Consumption,0.0003307369816146101
137,HUN,2008,6,Consumption,0.0003357179602533844
138,HUN,2008,7,Consumption,0.00034508220009428
139,HUN,2008,8,Consumption,0.00033153393819681403
140,HUN,2008,9,Consumption,0.00033521986238950696
141,HUN,2008,10,Consumption,0.0003482700264230955
142,HUN,2008,11,Consumption,0.00034318942821154574
143,HUN,2008,12,Consumption,0.000338308069145547
144,IRL,2008,1,Consumption,0.0005915968303239705
145,IRL,2008,2,Consumption,0.0005510581921014696
146,IRL,2008,3,Consumption,0.0005633088794764012
147,IRL,2008,4,Consumption,0.0005265568173516063
148,IRL,2008,5,Consumption,0.0004967096881108638
149,IRL,2008,6,Consumption,0.00046730803841102793
150,IRL,2008,7,Consumption,0.00048601817912910533
151,IRL,2008,8,Consumption,0.0004822316030313992
152,IRL,2008,9,Consumption,0.0004893592756859049
153,IRL,2008,10,Consumption,0.0005089603754857955
154,IRL,2008,11,Consumption,0.0005470488762333102
155,IRL,2008,12,Consumption,0.0005751140873104262
156,ITA,2008,1,Consumption,0.0005023736573089537
157,ITA,2008,2,Consumption,0.00048034285637935586
158,ITA,2008,3,Consumption,0.0004809548230718447
159,ITA,2008,4,Consumption,0.0004564931544470829
160,ITA,2008,5,Consumption,0.00046293580379300697
161,ITA,2008,6,Consumption,0.0004756511117369415
162,ITA,2008,7,Consumption,0.0005357088429748034
163,ITA,2008,8,Consumption,0.00044874157634222444
164,ITA,2008,9,Consumption,0.00048731247704381195
165,ITA,2008,10,Consumption,0.0004808698276978879
166,ITA,2008,11,Consumption,0.0004552522219873139
167,ITA,2008,12,Consumption,0.0004526853616938191
168,LTU,2008,1,Consumption,0.0003220530349433796
169,LTU,2008,2,Consumption,0.0002860956572555266
170,LTU,2008,3,Consumption,0.00028703367580390536
171,LTU,2008,4,Consumption,0.0002673352862879511
172,LTU,2008,5,Consumption,0.00024982560671821393
173,LTU,2008,6,Consumption,0.000238256711288209
174,LTU,2008,7,Consumption,0.00025263966236335023
175,LTU,2008,8,Consumption,0.0002523269895138906
176,LTU,2008,9,Consumption,0.0002651465763417339
177,LTU,2008,10,Consumption,0.00028171823736309226
178,LTU,2008,11,Consumption,0.0002889097129006629
179,LTU,2008,12,Consumption,0.0002901604042985013
180,LUX,2008,1,Consumption,0.001266755346362427
181,LUX,2008,2,Consumption,0.0011992223472833317
182,LUX,2008,3,Consumption,0.0012565230737746854
183,LUX,2008,4,Consumption,0.0012115010743886218
184,LUX,2008,5,Consumption,0.0011685255295201065
185,LUX,2008,6,Consumption,0.0011214570756164944
186,LUX,2008,7,Consumption,0.0011746648930727516
187,LUX,2008,8,Consumption,0.0010314130768443671
188,LUX,2008,9,Consumption,0.001088713803335721
189,LUX,2008,10,Consumption,0.0011275964391691394
190,LUX,2008,11,Consumption,0.0010048091681162385
191,LUX,2008,12,Consumption,0.0009209045328967564
192,LVA,2008,1,Consumption,0.00035640112027527396
193,LVA,2008,2,Consumption,0.0003201180165359097
194,LVA,2008,3,Consumption,0.0003201180165359097
195,LVA,2008,4,Consumption,0.0002806199542373613
196,LVA,2008,5,Consumption,0.0002581152443230721
197,LVA,2008,6,Consumption,0.00023882549296796708
198,LVA,2008,7,Consumption,0.0002493889282338579
199,LVA,2008,8,Consumption,0.00025627812514639545
200,LVA,2008,9,Consumption,0.0002709750785598088
201,LVA,2008,10,Consumption,0.00029899114600412803
202,LVA,2008,11,Consumption,0.0003077174620933422
203,LVA,2008,12,Consumption,0.0003265479336542781
204,NLD,2008,1,Consumption,0.0006538529805522975
205,NLD,2008,2,Consumption,0.0005915870592200597
206,NLD,2008,3,Consumption,0.0006339084276255651
207,NLD,2008,4,Consumption,0.0005588123213313134
208,NLD,2008,5,Consumption,0.0005661699155512361
209,NLD,2008,6,Consumption,0.0005606973248091449
210,NLD,2008,7,Consumption,0.0005620350692127673
211,NLD,2008,8,Consumption,0.0005639200726905986
212,NLD,2008,9,Consumption,0.0005769326773440155
213,NLD,2008,10,Consumption,0.0006183419472925056
214,NLD,2008,11,Consumption,0.0006349421392101823
215,NLD,2008,12,Consumption,0.0006545826593179096
216,POL,2008,1,Consumption,0.0003404522386033023
217,POL,2008,2,Consumption,0.00031060365250695733
218,POL,2008,3,Consumption,0.00031393473373212056
219,POL,2008,4,Consumption,0.0002956006725007101
220,POL,2008,5,Consumption,0.00028044031857831343
221,POL,2008,6,Consumption,0.00027606007791215384
222,POL,2008,7,Consumption,0.0002848467882304979
223,POL,2008,8,Consumption,0.0002826960113764555
224,POL,2008,9,Consumption,0.00029389578840909107
225,POL,2008,10,Consumption,0.00031592813667001356
226,POL,2008,11,Consumption,0.00030467590166532814
227,POL,2008,12,Consumption,0.0003159543656560385
228,PRT,2008,1,Consumption,0.0003555538044115002
229,PRT,2008,2,Consumption,0.0003066817311359717
230,PRT,2008,3,Consumption,0.0002995782321133658
231,PRT,2008,4,Consumption,0.00027400563563198456
232,PRT,2008,5,Consumption,0.000295031992738898
233,PRT,2008,6,Consumption,0.00030033593867577707
234,PRT,2008,7,Consumption,0.00033111776777373594
235,PRT,2008,8,Consumption,0.0002855606607087568
236,PRT,2008,9,Consumption,0.00030971255738561685
237,PRT,2008,10,Consumption,0.0002999570853945714
238,PRT,2008,11,Consumption,0.00031208039039315217
239,PRT,2008,12,Consumption,0.00032543496855565125
240,ROU,2008,1,Consumption,0.0002476887214475694
241,ROU,2008,2,Consumption,0.00022850465298868554
242,ROU,2008,3,Consumption,0.00022991667833210594
243,ROU,2008,4,Consumption,0.00021112213410588973
244,ROU,2008,5,Consumption,0.00020844415500629934
245,ROU,2008,6,Consumption,0.00020576617590670895
246,ROU,2008,7,Consumption,0.00021677023547957128
247,ROU,2008,8,Consumption,0.00021326451738556203
248,ROU,2008,9,Consumption,0.0002087362981808001
249,ROU,2008,10,Consumption,0.00022124976415524976
250,ROU,2008,11,Consumption,0.0002216879789170009
251,ROU,2008,12,Consumption,0.00022631357917992975
252,SVK,2008,1,Consumption,0.00047701967919961823
253,SVK,2008,2,Consumption,0.0004372370559148488
254,SVK,2008,3,Consumption,0.0004485769625520962
255,SVK,2008,4,Consumption,0.0004087943392673268
256,SVK,2008,5,Consumption,0.0004002429342621894
257,SVK,2008,6,Consumption,0.00037867852164053873
258,SVK,2008,7,Consumption,0.0003855568256664101
259,SVK,2008,8,Consumption,0.00037551821979081405
260,SVK,2008,9,Consumption,0.0003941082306715474
261,SVK,2008,10,Consumption,0.00042849975080090413
262,SVK,2008,11,Consumption,0.00042478174862475745
263,SVK,2008,12,Consumption,0.0004322177529770508
264,SVN,2008,1,Consumption,0.0006010935449974176
265,SVN,2008,2,Consumption,0.0005714099131456932
266,SVN,2008,3,Consumption,0.0005936726370344864
267,SVN,2008,4,Consumption,0.0005615153691951184
268,SVN,2008,5,Consumption,0.0005550839156272449
269,SVN,2008,6,Consumption,0.0005511260980470149
270,SVN,2008,7,Consumption,0.0005615153691951184
271,SVN,2008,8,Consumption,0.0005258950109730493
272,SVN,2008,9,Consumption,0.0005649784595778196
273,SVN,2008,10,Consumption,0.000588725365059199
274,SVN,2008,11,Consumption,0.0005684415499605207
275,SVN,2008,12,Consumption,0.0005481577348618425
276,SWE,2008,1,Consumption,0.0015962667510662297
277,SWE,2008,2,Consumption,0.001460361183417525
278,SWE,2008,3,Consumption,0.0015158948231909781
279,SWE,2008,4,Consumption,0.001308077530601259
280,SWE,2008,5,Consumption,0.0011831268411109895
281,SWE,2008,6,Consumption,0.0010713003125828056
282,SWE,2008,7,Consumption,0.0010188036687344632
283,SWE,2008,8,Consumption,0.0010890884315727398
284,SWE,2008,9,Consumption,0.0011583970171493737
285,SWE,2008,10,Consumption,0.0012921333019944277
286,SWE,2008,11,Consumption,0.0014142639238399516
287,SWE,2008,12,Consumption,0.00150266219808871
288,AUT,2009,1,Consumption,0.0007290860008656024
289,AUT,2009,2,Consumption,0.0006560935013543165
290,AUT,2009,3,Consumption,0.0006854583000082821
291,AUT,2009,4,Consumption,0.0005852584156216894
292,AUT,2009,5,Consumption,0.0005868165477951651
293,AUT,2009,6,Consumption,0.0005808237317433354
294,AUT,2009,7,Consumption,0.0006055141338768738
295,AUT,2009,8,Consumption,0.0005838201397692502
296,AUT,2009,9,Consumption,0.0006082708292607154
297,AUT,2009,10,Consumption,0.0006575317772067556
298,AUT,2009,11,Consumption,0.0006684387024210857
299,AUT,2009,12,Consumption,0.0007143436733781013
300,BEL,2009,1,Consumption,0.0007380174284371786
301,BEL,2009,2,Consumption,0.0006591029142518779
302,BEL,2009,3,Consumption,0.0006658643691057828
303,BEL,2009,4,Consumption,0.0005948227818051658
304,BEL,2009,5,Consumption,0.0006001022739513655
305,BEL,2009,6,Consumption,0.0005916736110512923
306,BEL,2009,7,Consumption,0.0005838006841666086
307,BEL,2009,8,Consumption,0.000596304744512871
308,BEL,2009,9,Consumption,0.0006255735079900483
309,BEL,2009,10,Consumption,0.0006739225413289297
310,BEL,2009,11,Consumption,0.0006670684638057932
311,BEL,2009,12,Consumption,0.0007219010839908848
312,BGR,2009,1,Consumption,0.0004872090497569798
313,BGR,2009,2,Consumption,0.00041614933447673655
314,BGR,2009,3,Consumption,0.00041937321569928066
315,BGR,2009,4,Consumption,0.00032722394408822797
316,BGR,2009,5,Consumption,0.000310432896054144
317,BGR,2009,6,Consumption,0.0003078806567529632
318,BGR,2009,7,Consumption,0.00033058215369504476
319,BGR,2009,8,Consumption,0.0003231940925600478
320,BGR,2009,9,Consumption,0.0003094925973642353
321,BGR,2009,10,Consumption,0.00035153738164158153
322,BGR,2009,11,Consumption,0.00037786574495902515
323,BGR,2009,12,Consumption,0.00043697023403900065
324,CYP,2009,1,Consumption,0.0003672453180722501
325,CYP,2009,2,Consumption,0.0003249400976080448
326,CYP,2009,3,Consumption,0.0003321409861976968
327,CYP,2009,4,Consumption,0.0002727336553330681
328,CYP,2009,5,Consumption,0.0003132386536498604
329,CYP,2009,6,Consumption,0.00040054942779939047
330,CYP,2009,7,Consumption,0.000486960090875214
331,CYP,2009,8,Consumption,0.0004653574251062581
332,CYP,2009,9,Consumption,0.0003861476506200865
333,CYP,2009,10,Consumption,0.0003501432076718267
334,CYP,2009,11,Consumption,0.0003087380982813279
335,CYP,2009,12,Consumption,0.00036094454055630467
336,CZE,2009,1,Consumption,0.0006024548599302026
