index,level_0,country,year,month,gwh,indicator
267,125,AUT,2008,3,2162.0,Imports
269,126,BEL,2008,3,2131.0,Imports
270,127,BGR,2008,3,318.0,Imports
271,128,CYP,2008,3,0.0,Imports
272,129,CZE,2008,3,708.0,Imports
273,130,DEU,2008,3,2999.0,Imports
274,131,DNK,2008,3,897.0,Imports
275,132,EST,2008,3,221.0,Imports
277,133,ESP,2008,3,230.0,Imports
279,134,FIN,2008,3,1603.0,Imports
280,135,FRA,2008,3,915.0,Imports
282,136,HUN,2008,3,1160.0,Imports
283,137,IRL,2008,3,118.0,Imports
285,138,ITA,2008,3,3846.0,Imports
286,139,LTU,2008,3,407.0,Imports
287,140,LUX,2008,3,605.0,Imports
288,141,LVA,2008,3,272.0,Imports
292,142,NLD,2008,3,2454.0,Imports
293,143,NOR,2008,3,239.0,Imports
294,144,POL,2008,3,950.0,Imports
295,145,PRT,2008,3,1079.0,Imports
296,146,ROU,2008,3,60.0,Imports
298,147,SWE,2008,3,933.0,Imports
299,148,SVN,2008,3,674.0,Imports
300,149,SVK,2008,3,724.0,Imports
343,150,AUT,2008,4,5438.0,Consumption
345,151,BEL,2008,4,7547.0,Consumption
346,152,BGR,2008,4,2593.0,Consumption
347,153,CYP,2008,4,304.0,Consumption
348,154,CZE,2008,4,5492.0,Consumption
349,155,DEU,2008,4,44500.0,Consumption
350,156,DNK,2008,4,2932.0,Consumption
351,157,EST,2008,4,704.0,Consumption
353,158,ESP,2008,4,21310.0,Consumption
355,159,FIN,2008,4,7200.0,Consumption
356,160,FRA,2008,4,41417.0,Consumption
358,161,HUN,2008,4,3316.0,Consumption
359,162,IRL,2008,4,2364.0,Consumption
361,163,ITA,2008,4,26854.0,Consumption
362,164,LTU,2008,4,855.0,Consumption
363,165,LUX,2008,4,592.0,Consumption
364,166,LVA,2008,4,611.0,Consumption
368,167,NLD,2008,4,9190.0,Consumption
369,168,NOR,2008,4,10671.0,Consumption
370,169,POL,2008,4,11270.0,Consumption
371,170,PRT,2008,4,2893.0,Consumption
372,171,ROU,2008,4,4336.0,Consumption
374,172,SWE,2008,4,12060.0,Consumption
375,173,SVN,2008,4,1135.0,Consumption
376,174,SVK,2008,4,2199.0,Consumption
381,175,AUT,2008,4,1764.0,Imports
383,176,BEL,2008,4,1886.0,Imports
384,177,BGR,2008,4,141.0,Imports
385,178,CYP,2008,4,0.0,Imports
386,179,CZE,2008,4,569.0,Imports
387,180,DEU,2008,4,3204.0,Imports
388,181,DNK,2008,4,1366.0,Imports
389,182,EST,2008,4,164.0,Imports
391,183,ESP,2008,4,257.0,Imports
393,184,FIN,2008,4,1312.0,Imports
394,185,FRA,2008,4,593.0,Imports
396,186,HUN,2008,4,1004.0,Imports
397,187,IRL,2008,4,141.0,Imports
399,188,ITA,2008,4,3711.0,Imports
400,189,LTU,2008,4,400.0,Imports
401,190,LUX,2008,4,601.0,Imports
402,191,LVA,2008,4,245.0,Imports
406,192,NLD,2008,4,2081.0,Imports
407,193,NOR,2008,4,413.0,Imports
408,194,POL,2008,4,699.0,Imports
409,195,PRT,2008,4,959.0,Imports
410,196,ROU,2008,4,45.0,Imports
412,197,SWE,2008,4,379.0,Imports
413,198,SVN,2008,4,575.0,Imports
414,199,SVK,2008,4,736.0,Imports
457,200,AUT,2008,5,5218.0,Consumption
459,201,BEL,2008,5,7222.0,Consumption
460,202,BGR,2008,5,2449.0,Consumption
461,203,CYP,2008,5,338.0,Consumption
462,204,CZE,2008,5,5111.0,Consumption
463,205,DEU,2008,5,41890.0,Consumption
464,206,DNK,2008,5,2830.0,Consumption
465,207,EST,2008,5,637.0,Consumption
467,208,ESP,2008,5,21517.0,Consumption
469,209,FIN,2008,5,6792.0,Consumption
470,210,FRA,2008,5,35384.0,Consumption
472,211,HUN,2008,5,3320.0,Consumption
473,212,IRL,2008,5,2230.0,Consumption
475,213,ITA,2008,5,27233.0,Consumption
476,214,LTU,2008,5,799.0,Consumption
477,215,LUX,2008,5,571.0,Consumption
478,216,LVA,2008,5,562.0,Consumption
482,217,NLD,2008,5,9311.0,Consumption
483,218,NOR,2008,5,9298.0,Consumption
484,219,POL,2008,5,10692.0,Consumption
485,220,PRT,2008,5,3115.0,Consumption
486,221,ROU,2008,5,4281.0,Consumption
488,222,SWE,2008,5,10908.0,Consumption
489,223,SVN,2008,5,1122.0,Consumption
490,224,SVK,2008,5,2153.0,Consumption
495,225,AUT,2008,5,1287.0,Imports
497,226,BEL,2008,5,1603.0,Imports
498,227,BGR,2008,5,118.0,Imports
499,228,CYP,2008,5,0.0,Imports
500,229,CZE,2008,5,507.0,Imports
501,230,DEU,2008,5,3469.0,Imports
502,231,DNK,2008,5,1280.0,Imports
503,232,EST,2008,5,153.0,Imports
505,233,ESP,2008,5,564.0,Imports
507,234,FIN,2008,5,1474.0,Imports
508,235,FRA,2008,5,314.0,Imports
510,236,HUN,2008,5,1004.0,Imports
511,237,IRL,2008,5,81.0,Imports
513,238,ITA,2008,5,4043.0,Imports
514,239,LTU,2008,5,354.0,Imports
515,240,LUX,2008,5,639.0,Imports
516,241,LVA,2008,5,397.0,Imports
520,242,NLD,2008,5,2376.0,Imports
521,243,NOR,2008,5,425.0,Imports
522,244,POL,2008,5,583.0,Imports
523,245,PRT,2008,5,854.0,Imports
524,246,ROU,2008,5,58.0,Imports
526,247,SWE,2008,5,351.0,Imports
527,248,SVN,2008,5,456.0,Imports
528,249,SVK,2008,5,431.0,Imports
571,250,AUT,2008,6,5210.0,Consumption
573,251,BEL,2008,6,7029.0,Consumption
574,252,BGR,2008,6,2393.0,Consumption
575,253,CYP,2008,6,419.0,Consumption
576,254,CZE,2008,6,4784.0,Consumption
577,255,DEU,2008,6,41216.0,Consumption
578,256,DNK,2008,6,2752.0,Consumption
579,257,EST,2008,6,569.0,Consumption
581,258,ESP,2008,6,21021.0,Consumption
583,259,FIN,2008,6,6094.0,Consumption
584,260,FRA,2008,6,34787.0,Consumption
586,261,HUN,2008,6,3370.0,Consumption
587,262,IRL,2008,6,2098.0,Consumption
589,263,ITA,2008,6,27981.0,Consumption
590,264,LTU,2008,6,762.0,Consumption
591,265,LUX,2008,6,548.0,Consumption
592,266,LVA,2008,6,520.0,Consumption
596,267,NLD,2008,6,9221.0,Consumption
597,268,NOR,2008,6,8372.0,Consumption
598,269,POL,2008,6,10525.0,Consumption
599,270,PRT,2008,6,3171.0,Consumption
600,271,ROU,2008,6,4226.0,Consumption
602,272,SWE,2008,6,9877.0,Consumption
603,273,SVN,2008,6,1114.0,Consumption
604,274,SVK,2008,6,2037.0,Consumption
609,275,AUT,2008,6,823.0,Imports
611,276,BEL,2008,6,1469.0,Imports
612,277,BGR,2008,6,213.0,Imports
613,278,CYP,2008,6,0.0,Imports
614,279,CZE,2008,6,545.0,Imports
615,280,DEU,2008,6,4236.0,Imports
616,281,DNK,2008,6,1077.0,Imports
617,282,EST,2008,6,179.0,Imports
619,283,ESP,2008,6,334.0,Imports
621,284,FIN,2008,6,998.0,Imports
622,285,FRA,2008,6,446.0,Imports
624,286,HUN,2008,6,802.0,Imports
625,287,IRL,2008,6,31.0,Imports
627,288,ITA,2008,6,3010.0,Imports
628,289,LTU,2008,6,456.0,Imports
629,290,LUX,2008,6,611.0,Imports
630,291,LVA,2008,6,379.0,Imports
634,292,NLD,2008,6,2265.0,Imports
635,293,NOR,2008,6,119.0,Imports
636,294,POL,2008,6,449.0,Imports
637,295,PRT,2008,6,871.0,Imports
638,296,ROU,2008,6,78.0,Imports
640,297,SWE,2008,6,1089.0,Imports
641,298,SVN,2008,6,364.0,Imports
642,299,SVK,2008,6,466.0,Imports
685,300,AUT,2008,7,5297.0,Consumption
687,301,BEL,2008,7,6895.0,Consumption
688,302,BGR,2008,7,2540.0,Consumption
689,303,CYP,2008,7,520.0,Consumption
690,304,CZE,2008,7,4821.0,Consumption
691,305,DEU,2008,7,42058.0,Consumption
692,306,DNK,2008,7,2654.0,Consumption
693,307,EST,2008,7,561.0,Consumption
695,308,ESP,2008,7,23305.0,Consumption
697,309,FIN,2008,7,6228.0,Consumption
698,310,FRA,2008,7,35850.0,Consumption
700,311,HUN,2008,7,3464.0,Consumption
701,312,IRL,2008,7,2182.0,Consumption
703,313,ITA,2008,7,31514.0,Consumption
704,314,LTU,2008,7,808.0,Consumption
705,315,LUX,2008,7,574.0,Consumption
706,316,LVA,2008,7,543.0,Consumption
710,317,NLD,2008,7,9243.0,Consumption
711,318,NOR,2008,7,8004.0,Consumption
712,319,POL,2008,7,10860.0,Consumption
713,320,PRT,2008,7,3496.0,Consumption
714,321,ROU,2008,7,4452.0,Consumption
716,322,SWE,2008,7,9393.0,Consumption
717,323,SVN,2008,7,1135.0,Consumption
718,324,SVK,2008,7,2074.0,Consumption
723,325,AUT,2008,7,770.0,Imports
725,326,BEL,2008,7,1034.0,Imports
726,327,BGR,2008,7,227.0,Imports
727,328,CYP,2008,7,0.0,Imports
728,329,CZE,2008,7,751.0,Imports
729,330,DEU,2008,7,4466.0,Imports
730,331,DNK,2008,7,1555.0,Imports
731,332,EST,2008,7,157.0,Imports
733,333,ESP,2008,7,505.0,Imports
735,334,FIN,2008,7,1210.0,Imports
736,335,FRA,2008,7,643.0,Imports
738,336,HUN,2008,7,1001.0,Imports
739,337,IRL,2008,7,59.0,Imports
741,338,ITA,2008,7,3818.0,Imports
742,339,LTU,2008,7,424.0,Imports
743,340,LUX,2008,7,635.0,Imports
744,341,LVA,2008,7,465.0,Imports
748,342,NLD,2008,7,2131.0,Imports
749,343,NOR,2008,7,109.0,Imports
750,344,POL,2008,7,702.0,Imports
751,345,PRT,2008,7,810.0,Imports
752,346,ROU,2008,7,92.0,Imports
754,347,SWE,2008,7,1168.0,Imports
755,348,SVN,2008,7,409.0,Imports
756,349,SVK,2008,7,559.0,Imports
799,350,AUT,2008,8,5086.0,Consumption
801,351,BEL,2008,8,6833.0,Consumption
802,352,BGR,2008,8,2560.0,Consumption
803,353,CYP,2008,8,511.0,Consumption
804,354,CZE,2008,8,4757.0,Consumption
805,355,DEU,2008,8,40603.0,Consumption
806,356,DNK,2008,8,2820.0,Consumption
807,357,EST,2008,8,616.0,Consumption
809,358,ESP,2008,8,22273.0,Consumption
811,359,FIN,2008,8,6532.0,Consumption
812,360,FRA,2008,8,32868.0,Consumption
814,361,HUN,2008,8,3328.0,Consumption
815,362,IRL,2008,8,2165.0,Consumption
817,363,ITA,2008,8,26398.0,Consumption
818,364,LTU,2008,8,807.0,Consumption
819,365,LUX,2008,8,504.0,Consumption
820,366,LVA,2008,8,558.0,Consumption
824,367,NLD,2008,8,9274.0,Consumption
825,368,NOR,2008,8,8272.0,Consumption
826,369,POL,2008,8,10778.0,Consumption
827,370,PRT,2008,8,3015.0,Consumption
828,371,ROU,2008,8,4380.0,Consumption
830,372,SWE,2008,8,10041.0,Consumption
831,373,SVN,2008,8,1063.0,Consumption
832,374,SVK,2008,8,2020.0,Consumption
837,375,AUT,2008,8,826.0,Imports
839,376,BEL,2008,8,1495.0,Imports
840,377,BGR,2008,8,284.0,Imports
841,378,CYP,2008,8,0.0,Imports
842,379,CZE,2008,8,592.0,Imports
843,380,DEU,2008,8,3877.0,Imports
844,381,DNK,2008,8,1252.0,Imports
845,382,EST,2008,8,6.0,Imports
847,383,ESP,2008,8,501.0,Imports
849,384,FIN,2008,8,1335.0,Imports
850,385,FRA,2008,8,509.0,Imports
852,386,HUN,2008,8,900.0,Imports
853,387,IRL,2008,8,59.0,Imports
855,388,ITA,2008,8,2844.0,Imports
856,389,LTU,2008,8,790.0,Imports
857,390,LUX,2008,8,525.0,Imports
858,391,LVA,2008,8,444.0,Imports
862,392,NLD,2008,8,2333.0,Imports
863,393,NOR,2008,8,129.0,Imports
864,394,POL,2008,8,532.0,Imports
865,395,PRT,2008,8,711.0,Imports
866,396,ROU,2008,8,93.0,Imports
868,397,SWE,2008,8,1194.0,Imports
869,398,SVN,2008,8,403.0,Imports
870,399,SVK,2008,8,494.0,Imports
913,400,AUT,2008,9,5343.0,Consumption
915,401,BEL,2008,9,7142.0,Consumption
916,402,BGR,2008,9,2480.0,Consumption
917,403,CYP,2008,9,431.0,Consumption
918,404,CZE,2008,9,5080.0,Consumption
919,405,DEU,2008,9,41910.0,Consumption
920,406,DNK,2008,9,2848.0,Consumption
921,407,EST,2008,9,689.0,Consumption
923,408,ESP,2008,9,21567.0,Consumption
925,409,FIN,2008,9,6636.0,Consumption
926,410,FRA,2008,9,35637.0,Consumption
928,411,HUN,2008,9,3365.0,Consumption
929,412,IRL,2008,9,2197.0,Consumption
