index,level_0,country,year,ktoe,indicator
164,140,ALB,2010,0.0,Heat
165,141,AUT,2010,6.79,Heat
167,142,BEL,2010,255.298,Heat
168,143,BGR,2010,56.936,Heat
169,144,CYP,2010,0.0,Heat
170,145,CZE,2010,0.0,Heat
171,146,DEU,2010,-6.353,Heat
172,147,DNK,2010,4.156,Heat
173,148,EST,2010,0.0,Heat
175,149,ESP,2010,0.0,Heat
177,150,FIN,2010,123.76,Heat
178,151,FRA,2010,0.0,Heat
180,152,HRV,2010,0.0,Heat
181,153,HUN,2010,0.0,Heat
182,154,IRL,2010,0.0,Heat
183,155,ISL,2010,0.0,Heat
184,156,ITA,2010,0.0,Heat
185,157,LTU,2010,252.365,Heat
186,158,LUX,2010,0.0,Heat
187,159,LVA,2010,0.0,Heat
188,160,MDA,2010,0.0,Heat
189,161,MNE,2010,0.0,Heat
190,162,MKD,2010,0.0,Heat
191,163,MLT,2010,0.0,Heat
192,164,NLD,2010,0.0,Heat
193,165,NOR,2010,54.509,Heat
194,166,POL,2010,27.281,Heat
195,167,PRT,2010,1.328,Heat
196,168,ROU,2010,0.0,Heat
197,169,SRB,2010,0.0,Heat
198,170,SWE,2010,0.0,Heat
199,171,SVN,2010,0.0,Heat
200,172,SVK,2010,0.0,Heat
201,173,TUR,2010,0.0,Heat
202,174,UKR,2010,0.0,Heat
205,175,ALB,2010,0.0,Nuclear heat
206,176,AUT,2010,0.0,Nuclear heat
208,177,BEL,2010,11608.853,Nuclear heat
209,178,BGR,2010,3849.12,Nuclear heat
210,179,CYP,2010,0.0,Nuclear heat
211,180,CZE,2010,7160.395,Nuclear heat
212,181,DEU,2010,36200.8,Nuclear heat
213,182,DNK,2010,0.0,Nuclear heat
214,183,EST,2010,0.0,Nuclear heat
216,184,ESP,2010,16134.8,Nuclear heat
218,185,FIN,2010,5565.0,Nuclear heat
219,186,FRA,2010,111612.0,Nuclear heat
221,187,HRV,2010,0.0,Nuclear heat
222,188,HUN,2010,3963.0,Nuclear heat
223,189,IRL,2010,0.0,Nuclear heat
224,190,ISL,2010,0.0,Nuclear heat
225,191,ITA,2010,0.0,Nuclear heat
226,192,LTU,2010,0.0,Nuclear heat
227,193,LUX,2010,0.0,Nuclear heat
228,194,LVA,2010,0.0,Nuclear heat
229,195,MDA,2010,0.0,Nuclear heat
230,196,MNE,2010,0.0,Nuclear heat
231,197,MKD,2010,0.0,Nuclear heat
232,198,MLT,2010,0.0,Nuclear heat
233,199,NLD,2010,917.4,Nuclear heat
234,200,NOR,2010,0.0,Nuclear heat
235,201,POL,2010,0.0,Nuclear heat
236,202,PRT,2010,0.0,Nuclear heat
237,203,ROU,2010,2922.83,Nuclear heat
238,204,SRB,2010,0.0,Nuclear heat
239,205,SWE,2010,14498.0,Nuclear heat
240,206,SVN,2010,1335.24,Nuclear heat
241,207,SVK,2010,3853.28,Nuclear heat
242,208,TUR,2010,0.0,Nuclear heat
243,209,UKR,2010,23456.592,Nuclear heat
927,210,MNE,2011,1123.244,Total
246,211,ALB,2010,1231.505,Oil and petroleum products (excluding biofuel portion)
247,212,AUT,2010,12352.146,Oil and petroleum products (excluding biofuel portion)
249,213,BEL,2010,23133.752,Oil and petroleum products (excluding biofuel portion)
250,214,BGR,2010,3841.124,Oil and petroleum products (excluding biofuel portion)
251,215,CYP,2010,2342.938,Oil and petroleum products (excluding biofuel portion)
252,216,CZE,2010,8982.95,Oil and petroleum products (excluding biofuel portion)
253,217,DEU,2010,105241.082,Oil and petroleum products (excluding biofuel portion)
254,218,DNK,2010,6975.119,Oil and petroleum products (excluding biofuel portion)
255,219,EST,2010,565.703,Oil and petroleum products (excluding biofuel portion)
257,220,ESP,2010,57800.451,Oil and petroleum products (excluding biofuel portion)
259,221,FIN,2010,9504.456,Oil and petroleum products (excluding biofuel portion)
260,222,FRA,2010,77210.6,Oil and petroleum products (excluding biofuel portion)
262,223,HRV,2010,3629.278,Oil and petroleum products (excluding biofuel portion)
263,224,HUN,2010,6568.824,Oil and petroleum products (excluding biofuel portion)
264,225,IRL,2010,7043.855,Oil and petroleum products (excluding biofuel portion)
265,226,ISL,2010,537.186,Oil and petroleum products (excluding biofuel portion)
266,227,ITA,2010,65244.039,Oil and petroleum products (excluding biofuel portion)
267,228,LTU,2010,2503.03,Oil and petroleum products (excluding biofuel portion)
268,229,LUX,2010,2441.301,Oil and petroleum products (excluding biofuel portion)
269,230,LVA,2010,1403.332,Oil and petroleum products (excluding biofuel portion)
270,231,MDA,2010,760.312,Oil and petroleum products (excluding biofuel portion)
271,232,MNE,2010,309.541,Oil and petroleum products (excluding biofuel portion)
272,233,MKD,2010,937.751,Oil and petroleum products (excluding biofuel portion)
273,234,MLT,2010,831.614,Oil and petroleum products (excluding biofuel portion)
274,235,NLD,2010,29941.096,Oil and petroleum products (excluding biofuel portion)
275,236,NOR,2010,12049.378,Oil and petroleum products (excluding biofuel portion)
276,237,POL,2010,25445.805,Oil and petroleum products (excluding biofuel portion)
277,238,PRT,2010,11514.451,Oil and petroleum products (excluding biofuel portion)
278,239,ROU,2010,8475.528,Oil and petroleum products (excluding biofuel portion)
279,240,SRB,2010,3919.615,Oil and petroleum products (excluding biofuel portion)
280,241,SWE,2010,13853.421,Oil and petroleum products (excluding biofuel portion)
281,242,SVN,2010,2574.864,Oil and petroleum products (excluding biofuel portion)
282,243,SVK,2010,3463.821,Oil and petroleum products (excluding biofuel portion)
283,244,TUR,2010,30074.754,Oil and petroleum products (excluding biofuel portion)
284,245,UKR,2010,13178.617,Oil and petroleum products (excluding biofuel portion)
287,246,ALB,2010,0.0,Peat and peat products
288,247,AUT,2010,0.21,Peat and peat products
290,248,BEL,2010,0.0,Peat and peat products
291,249,BGR,2010,0.0,Peat and peat products
292,250,CYP,2010,0.0,Peat and peat products
293,251,CZE,2010,0.0,Peat and peat products
294,252,DEU,2010,0.0,Peat and peat products
295,253,DNK,2010,0.0,Peat and peat products
296,254,EST,2010,54.17,Peat and peat products
298,255,ESP,2010,0.0,Peat and peat products
300,256,FIN,2010,2290.847,Peat and peat products
301,257,FRA,2010,0.0,Peat and peat products
303,258,HRV,2010,0.0,Peat and peat products
304,259,HUN,2010,0.0,Peat and peat products
305,260,IRL,2010,616.129,Peat and peat products
306,261,ISL,2010,0.0,Peat and peat products
307,262,ITA,2010,0.0,Peat and peat products
