index,level_0,country,year,population
214,214,SVN,2015,2063531
215,215,SWE,2015,9799186
216,216,AUT,2016,8736668
217,217,BEL,2016,11331422
218,218,BGR,2016,7127822
219,219,CYP,2016,1197881
220,220,CZE,2016,10566332
221,221,DEU,2016,82348669
222,222,DNK,2016,5728010
223,223,ESP,2016,46484062
224,224,EST,2016,1315790
225,225,FIN,2016,5495303
226,226,FRA,2016,66724104
227,227,GRC,2016,10775971
228,228,HRV,2016,4174349
229,229,HUN,2016,9814023
230,230,IRL,2016,4755335
231,231,ITA,2016,60627498
232,232,LTU,2016,2868231
233,233,LUX,2016,582014
234,234,LVA,2016,1959537
235,235,MLT,2016,455356
236,236,NLD,2016,17030314
237,237,POL,2016,37970087
238,238,PRT,2016,10325452
239,239,ROU,2016,19702267
240,240,SVK,2016,5430798
241,241,SVN,2016,2065042
242,242,SWE,2016,9923085
243,243,AUT,2017,8797566
244,244,BEL,2017,11375158
245,245,BGR,2017,7075947
246,246,CYP,2017,1208523
247,247,CZE,2017,10594438
248,248,DEU,2017,82657002
249,249,DNK,2017,5764980
250,250,ESP,2017,46593236
251,251,EST,2017,1317384
252,252,FIN,2017,5508214
253,253,FRA,2017,66918020
254,254,GRC,2017,10754679
255,255,HRV,2017,4124531
256,256,HUN,2017,9787966
257,257,IRL,2017,4807388
258,258,ITA,2017,60536709
259,259,LTU,2017,2828403
260,260,LUX,2017,596336
261,261,LVA,2017,1942248
262,262,MLT,2017,467999
263,263,NLD,2017,17131296
264,264,POL,2017,37974826
265,265,PRT,2017,10300300
266,266,ROU,2017,19588715
267,267,SVK,2017,5439232
268,268,SVN,2017,2066388
269,269,SWE,2017,10057698
270,270,AUT,2018,8840521
271,271,BEL,2018,11427054
272,272,BGR,2018,7025037
273,273,CYP,2018,1218831
274,274,CZE,2018,10629928
275,275,DEU,2018,82905782
276,276,DNK,2018,5793636
277,277,ESP,2018,46797754
278,278,EST,2018,1321977
279,279,FIN,2018,5515525
280,280,FRA,2018,67158348
281,281,GRC,2018,10732882
282,282,HRV,2018,4087843
283,283,HUN,2018,9775564
284,284,IRL,2018,4867316
285,285,ITA,2018,60421760
286,286,LTU,2018,2801543
287,287,LUX,2018,607950
288,288,LVA,2018,1927174
289,289,MLT,2018,484630
290,290,NLD,2018,17231624
291,291,POL,2018,37974750
292,292,PRT,2018,10283822
293,293,ROU,2018,19473970
294,294,SVK,2018,5446771
295,295,SVN,2018,2073894
296,296,SWE,2018,10175214
297,297,AUT,2019,8879920
298,298,BEL,2019,11488980
299,299,BGR,2019,6975761
300,300,CYP,2019,1228836
301,301,CZE,2019,10671870
302,302,DEU,2019,83092962
303,303,DNK,2019,5814422
304,304,ESP,2019,47134837
305,305,EST,2019,1326898
306,306,FIN,2019,5521606
307,307,FRA,2019,67388001
308,308,GRC,2019,10721582
309,309,HRV,2019,4065253
310,310,HUN,2019,9771141
311,311,IRL,2019,4934340
312,312,ITA,2019,59729081
313,313,LTU,2019,2794137
314,314,LUX,2019,620001
315,315,LVA,2019,1913822
316,316,MLT,2019,504062
317,317,NLD,2019,17344874
318,318,POL,2019,37965475
319,319,PRT,2019,10286263
320,320,ROU,2019,19371648
321,321,SVK,2019,5454147
322,322,SVN,2019,2088385
323,323,SWE,2019,10278887
324,324,AUT,2020,8916864
325,325,BEL,2020,11538604
326,326,BGR,2020,6934015
327,327,CYP,2020,1237537
328,328,CZE,2020,10697858
329,329,DEU,2020,83160871
330,330,DNK,2020,5831404
331,331,ESP,2020,47365655
332,332,EST,2020,1329522
333,333,FIN,2020,5529543
334,334,FRA,2020,67571107
335,335,GRC,2020,10698599
336,336,HRV,2020,4047680
337,337,HUN,2020,9750149
338,338,IRL,2020,4985382
339,339,ITA,2020,59438851
340,340,LTU,2020,2794885
341,341,LUX,2020,630419
342,342,LVA,2020,1900449
343,343,MLT,2020,515332
344,344,NLD,2020,17441500
345,345,POL,2020,37899070
346,346,PRT,2020,10297081
347,347,ROU,2020,19265250
348,348,SVK,2020,5458827
349,349,SVN,2020,2102419
350,350,SWE,2020,10353442
351,351,AUT,2021,8955797
352,352,BEL,2021,11592952
