geo\TIME_PERIOD,indic,Date,Value
MT,IS-CEL-GWH,2008-04,
NL,IS-CEL-GWH,2008-04,9190.0
NO,IS-CEL-GWH,2008-04,10671.0
PL,IS-CEL-GWH,2008-04,11270.0
PT,IS-CEL-GWH,2008-04,2893.0
RO,IS-CEL-GWH,2008-04,4336.0
RS,IS-CEL-GWH,2008-04,
SE,IS-CEL-GWH,2008-04,12060.0
SI,IS-CEL-GWH,2008-04,1135.0
SK,IS-CEL-GWH,2008-04,2199.0
TR,IS-CEL-GWH,2008-04,
UK,IS-CEL-GWH,2008-04,32010.0
XK,IS-CEL-GWH,2008-04,
AL,IS-CEL-GWH,2008-05,
AT,IS-CEL-GWH,2008-05,5218.0
BA,IS-CEL-GWH,2008-05,
BE,IS-CEL-GWH,2008-05,7222.0
BG,IS-CEL-GWH,2008-05,2449.0
CY,IS-CEL-GWH,2008-05,338.0
CZ,IS-CEL-GWH,2008-05,5111.0
DE,IS-CEL-GWH,2008-05,41890.0
DK,IS-CEL-GWH,2008-05,2830.0
EE,IS-CEL-GWH,2008-05,637.0
EL,IS-CEL-GWH,2008-05,4309.0
ES,IS-CEL-GWH,2008-05,21517.0
EU27_2020,IS-CEL-GWH,2008-05,
FI,IS-CEL-GWH,2008-05,6792.0
FR,IS-CEL-GWH,2008-05,35384.0
HR,IS-CEL-GWH,2008-05,
HU,IS-CEL-GWH,2008-05,3320.0
IE,IS-CEL-GWH,2008-05,2230.0
IS,IS-CEL-GWH,2008-05,
IT,IS-CEL-GWH,2008-05,27233.0
LT,IS-CEL-GWH,2008-05,799.0
LU,IS-CEL-GWH,2008-05,571.0
LV,IS-CEL-GWH,2008-05,562.0
ME,IS-CEL-GWH,2008-05,
MK,IS-CEL-GWH,2008-05,
MT,IS-CEL-GWH,2008-05,
NL,IS-CEL-GWH,2008-05,9311.0
NO,IS-CEL-GWH,2008-05,9298.0
PL,IS-CEL-GWH,2008-05,10692.0
PT,IS-CEL-GWH,2008-05,3115.0
RO,IS-CEL-GWH,2008-05,4281.0
RS,IS-CEL-GWH,2008-05,
SE,IS-CEL-GWH,2008-05,10908.0
SI,IS-CEL-GWH,2008-05,1122.0
SK,IS-CEL-GWH,2008-05,2153.0
TR,IS-CEL-GWH,2008-05,
UK,IS-CEL-GWH,2008-05,29305.0
XK,IS-CEL-GWH,2008-05,
AL,IS-CEL-GWH,2008-06,
AT,IS-CEL-GWH,2008-06,5210.0
BA,IS-CEL-GWH,2008-06,
BE,IS-CEL-GWH,2008-06,7029.0
BG,IS-CEL-GWH,2008-06,2393.0
CY,IS-CEL-GWH,2008-06,419.0
CZ,IS-CEL-GWH,2008-06,4784.0
DE,IS-CEL-GWH,2008-06,41216.0
DK,IS-CEL-GWH,2008-06,2752.0
EE,IS-CEL-GWH,2008-06,569.0
EL,IS-CEL-GWH,2008-06,4912.0
ES,IS-CEL-GWH,2008-06,21021.0
EU27_2020,IS-CEL-GWH,2008-06,
FI,IS-CEL-GWH,2008-06,6094.0
FR,IS-CEL-GWH,2008-06,34787.0
HR,IS-CEL-GWH,2008-06,
HU,IS-CEL-GWH,2008-06,3370.0
IE,IS-CEL-GWH,2008-06,2098.0
IS,IS-CEL-GWH,2008-06,
IT,IS-CEL-GWH,2008-06,27981.0
LT,IS-CEL-GWH,2008-06,762.0
LU,IS-CEL-GWH,2008-06,548.0
LV,IS-CEL-GWH,2008-06,520.0
ME,IS-CEL-GWH,2008-06,
MK,IS-CEL-GWH,2008-06,
MT,IS-CEL-GWH,2008-06,
NL,IS-CEL-GWH,2008-06,9221.0
NO,IS-CEL-GWH,2008-06,8372.0
PL,IS-CEL-GWH,2008-06,10525.0
PT,IS-CEL-GWH,2008-06,3171.0
RO,IS-CEL-GWH,2008-06,4226.0
RS,IS-CEL-GWH,2008-06,
SE,IS-CEL-GWH,2008-06,9877.0
SI,IS-CEL-GWH,2008-06,1114.0
SK,IS-CEL-GWH,2008-06,2037.0
TR,IS-CEL-GWH,2008-06,
UK,IS-CEL-GWH,2008-06,28048.0
XK,IS-CEL-GWH,2008-06,
AL,IS-CEL-GWH,2008-07,
AT,IS-CEL-GWH,2008-07,5297.0
BA,IS-CEL-GWH,2008-07,
BE,IS-CEL-GWH,2008-07,6895.0
BG,IS-CEL-GWH,2008-07,2540.0
