,Date,Country,Temperature
1660,2014-05,AUT,12.0
1661,2014-06,AUT,16.0
1662,2014-07,AUT,18.0
1663,2014-08,AUT,16.0
1664,2014-09,AUT,14.0
1665,2014-10,AUT,11.0
1666,2014-11,AUT,6.0
1667,2014-12,AUT,1.0
1668,2015-01,AUT,0.0
1669,2015-02,AUT,-0.0
1670,2015-03,AUT,4.0
1671,2015-04,AUT,8.0
1672,2015-05,AUT,12.0
1673,2015-06,AUT,17.0
1674,2015-07,AUT,21.0
1675,2015-08,AUT,20.0
1676,2015-09,AUT,13.0
1677,2015-10,AUT,8.0
1678,2015-11,AUT,6.0
1679,2015-12,AUT,3.0
1680,2016-01,AUT,-1.0
1681,2016-02,AUT,3.0
1682,2016-03,AUT,4.0
1683,2016-04,AUT,9.0
1684,2016-05,AUT,12.0
1685,2016-06,AUT,17.0
1686,2016-07,AUT,19.0
1687,2016-08,AUT,17.0
1688,2016-09,AUT,16.0
1689,2016-10,AUT,8.0
1690,2016-11,AUT,3.0
1691,2016-12,AUT,-0.0
1692,2017-01,AUT,-6.0
1693,2017-02,AUT,2.0
1694,2017-03,AUT,7.0
1695,2017-04,AUT,7.0
1696,2017-05,AUT,14.0
1697,2017-06,AUT,19.0
1698,2017-07,AUT,19.0
1699,2017-08,AUT,19.0
1700,2017-09,AUT,12.0
1701,2017-10,AUT,10.0
1702,2017-11,AUT,3.0
1703,2017-12,AUT,-1.0
1704,2018-01,AUT,1.0
1705,2018-02,AUT,-3.0
1706,2018-03,AUT,2.0
1707,2018-04,AUT,13.0
1708,2018-05,AUT,15.0
1709,2018-06,AUT,17.0
1710,2018-07,AUT,19.0
1711,2018-08,AUT,20.0
1712,2018-09,AUT,15.0
1713,2018-10,AUT,11.0
1714,2018-11,AUT,5.0
1715,2018-12,AUT,0.0
1716,2019-01,AUT,-2.0
1717,2019-02,AUT,2.0
1718,2019-03,AUT,6.0
1719,2019-04,AUT,9.0
1720,2019-05,AUT,10.0
1721,2019-06,AUT,20.0
1722,2019-07,AUT,19.0
1723,2019-08,AUT,19.0
1724,2019-09,AUT,14.0
1725,2019-10,AUT,10.0
1726,2019-11,AUT,5.0
1727,2019-12,AUT,1.0
1728,2020-01,AUT,-0.0
1729,2020-02,AUT,3.0
1730,2020-03,AUT,4.0
1731,2020-04,AUT,10.0
1732,2020-05,AUT,11.0
1733,2020-06,AUT,16.0
1734,2020-07,AUT,18.0
1735,2020-08,AUT,19.0
1736,2020-09,AUT,15.0
1737,2020-10,AUT,8.0
1738,2020-11,AUT,4.0
1739,2020-12,AUT,1.0
1740,2021-01,AUT,-2.0
1741,2021-02,AUT,1.0
1742,2021-03,AUT,3.0
1743,2021-04,AUT,6.0
1744,2021-05,AUT,10.0
1745,2021-06,AUT,19.0
1746,2021-07,AUT,19.0
1747,2021-08,AUT,16.0
1748,2021-09,AUT,15.0
1749,2021-10,AUT,8.0
1750,2021-11,AUT,3.0
1751,2021-12,AUT,-0.0
1752,2022-01,AUT,0.0
1753,2022-02,AUT,2.0
1754,2022-03,AUT,4.0
1755,2022-04,AUT,7.0
1756,2022-05,AUT,15.0
1757,2022-06,AUT,19.0
1758,2022-07,AUT,19.0
1759,2022-08,AUT,19.0
1760,2022-09,AUT,13.0
1761,2022-10,AUT,12.0
1762,2022-11,AUT,5.0
1763,2022-12,AUT,0.0
1764,2023-01,AUT,1.0
1765,2023-02,AUT,2.0
1766,2023-03,AUT,6.0
1767,2023-04,AUT,7.0
1768,2023-05,AUT,13.0
1769,2023-06,AUT,18.0
1770,2023-07,AUT,20.0
1771,2023-08,AUT,19.0
3509,2020-10,BEL,12.0
3510,2020-11,BEL,9.0
3511,2020-12,BEL,6.0
3512,2021-01,BEL,3.0
3513,2021-02,BEL,5.0
3514,2021-03,BEL,7.0
3515,2021-04,BEL,7.0
3516,2021-05,BEL,12.0
3517,2021-06,BEL,19.0
3518,2021-07,BEL,18.0
3519,2021-08,BEL,17.0
3520,2021-09,BEL,17.0
3521,2021-10,BEL,12.0
3522,2021-11,BEL,7.0
3523,2021-12,BEL,6.0
3524,2022-01,BEL,5.0
3525,2022-02,BEL,7.0
3526,2022-03,BEL,8.0
3527,2022-04,BEL,9.0
3528,2022-05,BEL,15.0
3529,2022-06,BEL,18.0
3530,2022-07,BEL,20.0
3531,2022-08,BEL,21.0
3532,2022-09,BEL,15.0
3533,2022-10,BEL,14.0
3534,2022-11,BEL,9.0
3535,2022-12,BEL,4.0
3536,2023-01,BEL,5.0
3537,2023-02,BEL,6.0
3538,2023-03,BEL,8.0
3539,2023-04,BEL,9.0
3540,2023-05,BEL,14.0
3541,2023-06,BEL,20.0
3542,2023-07,BEL,19.0
3543,2023-08,BEL,18.0
5032,2000-01,CHE,-2.0
5033,2000-02,CHE,1.0
5034,2000-03,CHE,3.0
5035,2000-04,CHE,6.0
5036,2000-05,CHE,11.0
5037,2000-06,CHE,15.0
5038,2000-07,CHE,13.0
5039,2000-08,CHE,16.0
5040,2000-09,CHE,12.0
5041,2000-10,CHE,8.0
5042,2000-11,CHE,3.0
5043,2000-12,CHE,1.0
5044,2001-01,CHE,-1.0
5045,2001-02,CHE,0.0
5046,2001-03,CHE,4.0
5047,2001-04,CHE,4.0
5048,2001-05,CHE,12.0
5049,2001-06,CHE,12.0
5050,2001-07,CHE,16.0
5051,2001-08,CHE,16.0
5052,2001-09,CHE,8.0
5053,2001-10,CHE,10.0
5054,2001-11,CHE,1.0
5055,2001-12,CHE,-2.0
5056,2002-01,CHE,-1.0
5057,2002-02,CHE,2.0
5058,2002-03,CHE,3.0
5059,2002-04,CHE,5.0
5060,2002-05,CHE,9.0
5061,2002-06,CHE,16.0
5062,2002-07,CHE,15.0
5063,2002-08,CHE,14.0
5064,2002-09,CHE,10.0
5065,2002-10,CHE,7.0
5066,2002-11,CHE,4.0
5067,2002-12,CHE,2.0
5068,2003-01,CHE,-2.0
5069,2003-02,CHE,-4.0
5070,2003-03,CHE,4.0
5071,2003-04,CHE,6.0
5072,2003-05,CHE,11.0
5073,2003-06,CHE,19.0
5074,2003-07,CHE,17.0
5075,2003-08,CHE,19.0
5076,2003-09,CHE,12.0
5077,2003-10,CHE,4.0
5078,2003-11,CHE,3.0
5079,2003-12,CHE,-1.0
5080,2004-01,CHE,-1.0
5081,2004-02,CHE,-0.0
5082,2004-03,CHE,1.0
5083,2004-04,CHE,5.0
5084,2004-05,CHE,9.0
5085,2004-06,CHE,14.0
5086,2004-07,CHE,15.0
5087,2004-08,CHE,15.0
5088,2004-09,CHE,12.0
5089,2004-10,CHE,9.0
5090,2004-11,CHE,2.0
5091,2004-12,CHE,-1.0
5092,2005-01,CHE,-2.0
5093,2005-02,CHE,-4.0
5094,2005-03,CHE,2.0
