geo\TIME_PERIOD,indic,Date,Value
NO,IS-IDGD-T,2008-05,
PL,IS-IDGD-T,2008-05,
PT,IS-IDGD-T,2008-05,
RO,IS-IDGD-T,2008-05,
RS,IS-IDGD-T,2008-05,
SE,IS-IDGD-T,2008-05,
SI,IS-IDGD-T,2008-05,
SK,IS-IDGD-T,2008-05,
TR,IS-IDGD-T,2008-05,
UK,IS-IDGD-T,2008-05,
AL,IS-IDGD-T,2008-06,
AT,IS-IDGD-T,2008-06,
BE,IS-IDGD-T,2008-06,
BG,IS-IDGD-T,2008-06,
CY,IS-IDGD-T,2008-06,
CZ,IS-IDGD-T,2008-06,
DE,IS-IDGD-T,2008-06,
DK,IS-IDGD-T,2008-06,
EE,IS-IDGD-T,2008-06,
EL,IS-IDGD-T,2008-06,
ES,IS-IDGD-T,2008-06,
EU27_2020,IS-IDGD-T,2008-06,
FI,IS-IDGD-T,2008-06,
FR,IS-IDGD-T,2008-06,
HR,IS-IDGD-T,2008-06,
HU,IS-IDGD-T,2008-06,
IE,IS-IDGD-T,2008-06,
IT,IS-IDGD-T,2008-06,
LT,IS-IDGD-T,2008-06,
LU,IS-IDGD-T,2008-06,
LV,IS-IDGD-T,2008-06,
ME,IS-IDGD-T,2008-06,
MK,IS-IDGD-T,2008-06,
MT,IS-IDGD-T,2008-06,
NL,IS-IDGD-T,2008-06,
NO,IS-IDGD-T,2008-06,
PL,IS-IDGD-T,2008-06,
PT,IS-IDGD-T,2008-06,
RO,IS-IDGD-T,2008-06,
RS,IS-IDGD-T,2008-06,
SE,IS-IDGD-T,2008-06,
SI,IS-IDGD-T,2008-06,
SK,IS-IDGD-T,2008-06,
TR,IS-IDGD-T,2008-06,
UK,IS-IDGD-T,2008-06,
AL,IS-IDGD-T,2008-07,
AT,IS-IDGD-T,2008-07,
BE,IS-IDGD-T,2008-07,
BG,IS-IDGD-T,2008-07,
CY,IS-IDGD-T,2008-07,
CZ,IS-IDGD-T,2008-07,
DE,IS-IDGD-T,2008-07,
DK,IS-IDGD-T,2008-07,
EE,IS-IDGD-T,2008-07,
EL,IS-IDGD-T,2008-07,
ES,IS-IDGD-T,2008-07,
EU27_2020,IS-IDGD-T,2008-07,
FI,IS-IDGD-T,2008-07,
FR,IS-IDGD-T,2008-07,
HR,IS-IDGD-T,2008-07,
HU,IS-IDGD-T,2008-07,
IE,IS-IDGD-T,2008-07,
IT,IS-IDGD-T,2008-07,
LT,IS-IDGD-T,2008-07,
LU,IS-IDGD-T,2008-07,
LV,IS-IDGD-T,2008-07,
ME,IS-IDGD-T,2008-07,
MK,IS-IDGD-T,2008-07,
MT,IS-IDGD-T,2008-07,
NL,IS-IDGD-T,2008-07,
NO,IS-IDGD-T,2008-07,
PL,IS-IDGD-T,2008-07,
PT,IS-IDGD-T,2008-07,
RO,IS-IDGD-T,2008-07,
RS,IS-IDGD-T,2008-07,
SE,IS-IDGD-T,2008-07,
SI,IS-IDGD-T,2008-07,
SK,IS-IDGD-T,2008-07,
TR,IS-IDGD-T,2008-07,
UK,IS-IDGD-T,2008-07,
AL,IS-IDGD-T,2008-08,
AT,IS-IDGD-T,2008-08,
BE,IS-IDGD-T,2008-08,
BG,IS-IDGD-T,2008-08,
CY,IS-IDGD-T,2008-08,
CZ,IS-IDGD-T,2008-08,
DE,IS-IDGD-T,2008-08,
DK,IS-IDGD-T,2008-08,
EE,IS-IDGD-T,2008-08,
EL,IS-IDGD-T,2008-08,
ES,IS-IDGD-T,2008-08,
EU27_2020,IS-IDGD-T,2008-08,
FI,IS-IDGD-T,2008-08,
FR,IS-IDGD-T,2008-08,
HR,IS-IDGD-T,2008-08,
HU,IS-IDGD-T,2008-08,
IE,IS-IDGD-T,2008-08,
IT,IS-IDGD-T,2008-08,
LT,IS-IDGD-T,2008-08,
LU,IS-IDGD-T,2008-08,
LV,IS-IDGD-T,2008-08,
ME,IS-IDGD-T,2008-08,
MK,IS-IDGD-T,2008-08,
MT,IS-IDGD-T,2008-08,
NL,IS-IDGD-T,2008-08,
NO,IS-IDGD-T,2008-08,
PL,IS-IDGD-T,2008-08,
PT,IS-IDGD-T,2008-08,
RO,IS-IDGD-T,2008-08,
RS,IS-IDGD-T,2008-08,
SE,IS-IDGD-T,2008-08,
SI,IS-IDGD-T,2008-08,
SK,IS-IDGD-T,2008-08,
TR,IS-IDGD-T,2008-08,
UK,IS-IDGD-T,2008-08,
AL,IS-IDGD-T,2008-09,
AT,IS-IDGD-T,2008-09,
BE,IS-IDGD-T,2008-09,
BG,IS-IDGD-T,2008-09,
CY,IS-IDGD-T,2008-09,
CZ,IS-IDGD-T,2008-09,
DE,IS-IDGD-T,2008-09,
DK,IS-IDGD-T,2008-09,
EE,IS-IDGD-T,2008-09,
EL,IS-IDGD-T,2008-09,
ES,IS-IDGD-T,2008-09,
EU27_2020,IS-IDGD-T,2008-09,
FI,IS-IDGD-T,2008-09,
FR,IS-IDGD-T,2008-09,
HR,IS-IDGD-T,2008-09,
HU,IS-IDGD-T,2008-09,
IE,IS-IDGD-T,2008-09,
IT,IS-IDGD-T,2008-09,
LT,IS-IDGD-T,2008-09,
LU,IS-IDGD-T,2008-09,
LV,IS-IDGD-T,2008-09,
ME,IS-IDGD-T,2008-09,
MK,IS-IDGD-T,2008-09,
MT,IS-IDGD-T,2008-09,
NL,IS-IDGD-T,2008-09,
NO,IS-IDGD-T,2008-09,
PL,IS-IDGD-T,2008-09,
PT,IS-IDGD-T,2008-09,
RO,IS-IDGD-T,2008-09,
RS,IS-IDGD-T,2008-09,
SE,IS-IDGD-T,2008-09,
SI,IS-IDGD-T,2008-09,
SK,IS-IDGD-T,2008-09,
TR,IS-IDGD-T,2008-09,
UK,IS-IDGD-T,2008-09,
AL,IS-IDGD-T,2008-10,
AT,IS-IDGD-T,2008-10,
BE,IS-IDGD-T,2008-10,
BG,IS-IDGD-T,2008-10,
CY,IS-IDGD-T,2008-10,
CZ,IS-IDGD-T,2008-10,
DE,IS-IDGD-T,2008-10,
DK,IS-IDGD-T,2008-10,
EE,IS-IDGD-T,2008-10,
EL,IS-IDGD-T,2008-10,
ES,IS-IDGD-T,2008-10,
EU27_2020,IS-IDGD-T,2008-10,
FI,IS-IDGD-T,2008-10,
FR,IS-IDGD-T,2008-10,
HR,IS-IDGD-T,2008-10,
HU,IS-IDGD-T,2008-10,
IE,IS-IDGD-T,2008-10,
IT,IS-IDGD-T,2008-10,
LT,IS-IDGD-T,2008-10,
LU,IS-IDGD-T,2008-10,
LV,IS-IDGD-T,2008-10,
ME,IS-IDGD-T,2008-10,
MK,IS-IDGD-T,2008-10,
MT,IS-IDGD-T,2008-10,
NL,IS-IDGD-T,2008-10,
NO,IS-IDGD-T,2008-10,
PL,IS-IDGD-T,2008-10,
PT,IS-IDGD-T,2008-10,
RO,IS-IDGD-T,2008-10,
RS,IS-IDGD-T,2008-10,
SE,IS-IDGD-T,2008-10,
SI,IS-IDGD-T,2008-10,
SK,IS-IDGD-T,2008-10,
TR,IS-IDGD-T,2008-10,
UK,IS-IDGD-T,2008-10,
AL,IS-IDGD-T,2008-11,
AT,IS-IDGD-T,2008-11,
BE,IS-IDGD-T,2008-11,
BG,IS-IDGD-T,2008-11,
CY,IS-IDGD-T,2008-11,
CZ,IS-IDGD-T,2008-11,
DE,IS-IDGD-T,2008-11,
DK,IS-IDGD-T,2008-11,
EE,IS-IDGD-T,2008-11,
EL,IS-IDGD-T,2008-11,
ES,IS-IDGD-T,2008-11,
EU27_2020,IS-IDGD-T,2008-11,
FI,IS-IDGD-T,2008-11,
FR,IS-IDGD-T,2008-11,
HR,IS-IDGD-T,2008-11,
HU,IS-IDGD-T,2008-11,
IE,IS-IDGD-T,2008-11,
IT,IS-IDGD-T,2008-11,
LT,IS-IDGD-T,2008-11,
LU,IS-IDGD-T,2008-11,
LV,IS-IDGD-T,2008-11,
ME,IS-IDGD-T,2008-11,
MK,IS-IDGD-T,2008-11,
MT,IS-IDGD-T,2008-11,
NL,IS-IDGD-T,2008-11,
NO,IS-IDGD-T,2008-11,
PL,IS-IDGD-T,2008-11,
PT,IS-IDGD-T,2008-11,
RO,IS-IDGD-T,2008-11,
RS,IS-IDGD-T,2008-11,
SE,IS-IDGD-T,2008-11,
SI,IS-IDGD-T,2008-11,
SK,IS-IDGD-T,2008-11,
TR,IS-IDGD-T,2008-11,
UK,IS-IDGD-T,2008-11,
AL,IS-IDGD-T,2008-12,
AT,IS-IDGD-T,2008-12,
BE,IS-IDGD-T,2008-12,
BG,IS-IDGD-T,2008-12,
CY,IS-IDGD-T,2008-12,
CZ,IS-IDGD-T,2008-12,
DE,IS-IDGD-T,2008-12,
DK,IS-IDGD-T,2008-12,
EE,IS-IDGD-T,2008-12,
EL,IS-IDGD-T,2008-12,
ES,IS-IDGD-T,2008-12,
EU27_2020,IS-IDGD-T,2008-12,
FI,IS-IDGD-T,2008-12,
FR,IS-IDGD-T,2008-12,
HR,IS-IDGD-T,2008-12,
HU,IS-IDGD-T,2008-12,
IE,IS-IDGD-T,2008-12,
IT,IS-IDGD-T,2008-12,
LT,IS-IDGD-T,2008-12,
LU,IS-IDGD-T,2008-12,
LV,IS-IDGD-T,2008-12,
ME,IS-IDGD-T,2008-12,
MK,IS-IDGD-T,2008-12,
MT,IS-IDGD-T,2008-12,
NL,IS-IDGD-T,2008-12,
NO,IS-IDGD-T,2008-12,
PL,IS-IDGD-T,2008-12,
PT,IS-IDGD-T,2008-12,
RO,IS-IDGD-T,2008-12,
RS,IS-IDGD-T,2008-12,
SE,IS-IDGD-T,2008-12,
SI,IS-IDGD-T,2008-12,
SK,IS-IDGD-T,2008-12,
TR,IS-IDGD-T,2008-12,
UK,IS-IDGD-T,2008-12,
AL,IS-IDGD-T,2009-01,
AT,IS-IDGD-T,2009-01,
BE,IS-IDGD-T,2009-01,
BG,IS-IDGD-T,2009-01,
CY,IS-IDGD-T,2009-01,
CZ,IS-IDGD-T,2009-01,
DE,IS-IDGD-T,2009-01,
DK,IS-IDGD-T,2009-01,
EE,IS-IDGD-T,2009-01,
EL,IS-IDGD-T,2009-01,
ES,IS-IDGD-T,2009-01,
EU27_2020,IS-IDGD-T,2009-01,
FI,IS-IDGD-T,2009-01,
FR,IS-IDGD-T,2009-01,
HR,IS-IDGD-T,2009-01,
HU,IS-IDGD-T,2009-01,
IE,IS-IDGD-T,2009-01,
IT,IS-IDGD-T,2009-01,
LT,IS-IDGD-T,2009-01,
LU,IS-IDGD-T,2009-01,
LV,IS-IDGD-T,2009-01,
ME,IS-IDGD-T,2009-01,
MK,IS-IDGD-T,2009-01,
MT,IS-IDGD-T,2009-01,
NL,IS-IDGD-T,2009-01,
NO,IS-IDGD-T,2009-01,
PL,IS-IDGD-T,2009-01,
PT,IS-IDGD-T,2009-01,
RO,IS-IDGD-T,2009-01,
