geo\TIME_PERIOD,indic,Date,GWH
PL,Imports,2008-02,962.0
PT,Imports,2008-02,858.0
RO,Imports,2008-02,65.0
RS,Imports,2008-02,
SE,Imports,2008-02,894.0
SI,Imports,2008-02,553.0
SK,Imports,2008-02,995.0
TR,Imports,2008-02,
UK,Imports,2008-02,902.0
XK,Imports,2008-02,
AL,Production,2008-02,
AT,Production,2008-02,
BA,Production,2008-02,
BE,Production,2008-02,
BG,Production,2008-02,
CY,Production,2008-02,
CZ,Production,2008-02,
DE,Production,2008-02,
DK,Production,2008-02,
EE,Production,2008-02,
EL,Production,2008-02,
ES,Production,2008-02,
EU27_2020,Production,2008-02,
FI,Production,2008-02,
FR,Production,2008-02,
HR,Production,2008-02,
HU,Production,2008-02,
IE,Production,2008-02,
IS,Production,2008-02,
IT,Production,2008-02,
LT,Production,2008-02,
LU,Production,2008-02,
LV,Production,2008-02,
ME,Production,2008-02,
MK,Production,2008-02,
MT,Production,2008-02,
NL,Production,2008-02,
NO,Production,2008-02,
PL,Production,2008-02,
PT,Production,2008-02,
RO,Production,2008-02,
RS,Production,2008-02,
SE,Production,2008-02,
SI,Production,2008-02,
SK,Production,2008-02,
TR,Production,2008-02,
UK,Production,2008-02,
XK,Production,2008-02,
AL,Consumption,2008-03,
AT,Consumption,2008-03,5878.0
BA,Consumption,2008-03,
BE,Consumption,2008-03,8047.0
BG,Consumption,2008-03,2923.0
CY,Consumption,2008-03,321.0
CZ,Consumption,2008-03,6019.0
DE,Consumption,2008-03,42685.0
DK,Consumption,2008-03,3190.0
EE,Consumption,2008-03,816.0
EL,Consumption,2008-03,3873.0
ES,Consumption,2008-03,21690.0
EU27_2020,Consumption,2008-03,
FI,Consumption,2008-03,8279.0
FR,Consumption,2008-03,46605.0
HR,Consumption,2008-03,
HU,Consumption,2008-03,3512.0
IE,Consumption,2008-03,2529.0
IS,Consumption,2008-03,
IT,Consumption,2008-03,28293.0
LT,Consumption,2008-03,918.0
LU,Consumption,2008-03,614.0
LV,Consumption,2008-03,697.0
ME,Consumption,2008-03,
MK,Consumption,2008-03,
MT,Consumption,2008-03,
NL,Consumption,2008-03,10425.0
NO,Consumption,2008-03,12356.0
PL,Consumption,2008-03,11969.0
PT,Consumption,2008-03,3163.0
RO,Consumption,2008-03,4722.0
RS,Consumption,2008-03,
SE,Consumption,2008-03,13976.0
SI,Consumption,2008-03,1200.0
SK,Consumption,2008-03,2413.0
TR,Consumption,2008-03,
UK,Consumption,2008-03,34394.0
XK,Consumption,2008-03,
AL,Imports,2008-03,
AT,Imports,2008-03,2162.0
BA,Imports,2008-03,
BE,Imports,2008-03,2131.0
BG,Imports,2008-03,318.0
CY,Imports,2008-03,0.0
CZ,Imports,2008-03,708.0
DE,Imports,2008-03,2999.0
DK,Imports,2008-03,897.0
EE,Imports,2008-03,221.0
EL,Imports,2008-03,419.0
ES,Imports,2008-03,230.0
EU27_2020,Imports,2008-03,
FI,Imports,2008-03,1603.0
FR,Imports,2008-03,915.0
HR,Imports,2008-03,
HU,Imports,2008-03,1160.0
IE,Imports,2008-03,118.0
IS,Imports,2008-03,
IT,Imports,2008-03,3846.0
LT,Imports,2008-03,407.0
LU,Imports,2008-03,605.0
LV,Imports,2008-03,272.0
ME,Imports,2008-03,
MK,Imports,2008-03,
MT,Imports,2008-03,
NL,Imports,2008-03,2454.0
NO,Imports,2008-03,239.0
PL,Imports,2008-03,950.0
PT,Imports,2008-03,1079.0
RO,Imports,2008-03,60.0
RS,Imports,2008-03,
SE,Imports,2008-03,933.0
SI,Imports,2008-03,674.0
SK,Imports,2008-03,724.0
TR,Imports,2008-03,
UK,Imports,2008-03,782.0
XK,Imports,2008-03,
AL,Production,2008-03,
AT,Production,2008-03,
BA,Production,2008-03,
BE,Production,2008-03,
BG,Production,2008-03,
CY,Production,2008-03,
CZ,Production,2008-03,
DE,Production,2008-03,
DK,Production,2008-03,
EE,Production,2008-03,
EL,Production,2008-03,
ES,Production,2008-03,
EU27_2020,Production,2008-03,
FI,Production,2008-03,
FR,Production,2008-03,
HR,Production,2008-03,
HU,Production,2008-03,
IE,Production,2008-03,
IS,Production,2008-03,
IT,Production,2008-03,
LT,Production,2008-03,
LU,Production,2008-03,
LV,Production,2008-03,
ME,Production,2008-03,
MK,Production,2008-03,
MT,Production,2008-03,
NL,Production,2008-03,
NO,Production,2008-03,
PL,Production,2008-03,
PT,Production,2008-03,
RO,Production,2008-03,
RS,Production,2008-03,
SE,Production,2008-03,
SI,Production,2008-03,
SK,Production,2008-03,
TR,Production,2008-03,
UK,Production,2008-03,
XK,Production,2008-03,
AL,Consumption,2008-04,
AT,Consumption,2008-04,5438.0
BA,Consumption,2008-04,
BE,Consumption,2008-04,7547.0
BG,Consumption,2008-04,2593.0
CY,Consumption,2008-04,304.0
CZ,Consumption,2008-04,5492.0
DE,Consumption,2008-04,44500.0
DK,Consumption,2008-04,2932.0
EE,Consumption,2008-04,704.0
EL,Consumption,2008-04,4038.0
ES,Consumption,2008-04,21310.0
EU27_2020,Consumption,2008-04,
FI,Consumption,2008-04,7200.0
FR,Consumption,2008-04,41417.0
HR,Consumption,2008-04,
HU,Consumption,2008-04,3316.0
IE,Consumption,2008-04,2364.0
IS,Consumption,2008-04,
