index,Date,Country,Temperature
1908,2014-05,AUT,12.0
1909,2014-06,AUT,17.0
1910,2014-07,AUT,18.0
1911,2014-08,AUT,16.0
1912,2014-09,AUT,14.0
1913,2014-10,AUT,11.0
1914,2014-11,AUT,7.0
1915,2014-12,AUT,1.0
1916,2015-01,AUT,1.0
1917,2015-02,AUT,0.0
1918,2015-03,AUT,5.0
1919,2015-04,AUT,9.0
1920,2015-05,AUT,13.0
1921,2015-06,AUT,17.0
1922,2015-07,AUT,21.0
1923,2015-08,AUT,20.0
1924,2015-09,AUT,13.0
1925,2015-10,AUT,9.0
1926,2015-11,AUT,6.0
1927,2015-12,AUT,3.0
1928,2016-01,AUT,-1.0
1929,2016-02,AUT,3.0
1930,2016-03,AUT,4.0
1931,2016-04,AUT,9.0
1932,2016-05,AUT,13.0
1933,2016-06,AUT,17.0
1934,2016-07,AUT,19.0
1935,2016-08,AUT,18.0
1936,2016-09,AUT,16.0
1937,2016-10,AUT,8.0
1938,2016-11,AUT,4.0
1939,2016-12,AUT,0.0
1940,2017-01,AUT,-5.0
1941,2017-02,AUT,2.0
1942,2017-03,AUT,7.0
1943,2017-04,AUT,8.0
1944,2017-05,AUT,14.0
1945,2017-06,AUT,19.0
1946,2017-07,AUT,19.0
1947,2017-08,AUT,20.0
1948,2017-09,AUT,12.0
1949,2017-10,AUT,10.0
1950,2017-11,AUT,3.0
1951,2017-12,AUT,0.0
1952,2018-01,AUT,2.0
1953,2018-02,AUT,-3.0
1954,2018-03,AUT,2.0
1955,2018-04,AUT,13.0
1956,2018-05,AUT,15.0
1957,2018-06,AUT,18.0
1958,2018-07,AUT,19.0
1959,2018-08,AUT,20.0
1960,2018-09,AUT,16.0
1961,2018-10,AUT,11.0
1962,2018-11,AUT,5.0
1963,2018-12,AUT,1.0
1964,2019-01,AUT,-2.0
1965,2019-02,AUT,2.0
1966,2019-03,AUT,6.0
1967,2019-04,AUT,9.0
1968,2019-05,AUT,10.0
1969,2019-06,AUT,20.0
1970,2019-07,AUT,20.0
1971,2019-08,AUT,19.0
1972,2019-09,AUT,14.0
1973,2019-10,AUT,11.0
1974,2019-11,AUT,5.0
1975,2019-12,AUT,1.0
1976,2020-01,AUT,0.0
1977,2020-02,AUT,4.0
1978,2020-03,AUT,5.0
1979,2020-04,AUT,10.0
1980,2020-05,AUT,12.0
1981,2020-06,AUT,16.0
1982,2020-07,AUT,18.0
1983,2020-08,AUT,19.0
1984,2020-09,AUT,15.0
1985,2020-10,AUT,9.0
1986,2020-11,AUT,4.0
1987,2020-12,AUT,1.0
1988,2021-01,AUT,-2.0
1989,2021-02,AUT,2.0
1990,2021-03,AUT,4.0
1991,2021-04,AUT,6.0
1992,2021-05,AUT,11.0
1993,2021-06,AUT,19.0
1994,2021-07,AUT,19.0
1995,2021-08,AUT,17.0
1996,2021-09,AUT,15.0
1997,2021-10,AUT,9.0
1998,2021-11,AUT,4.0
1999,2021-12,AUT,0.0
2000,2022-01,AUT,0.0
2001,2022-02,AUT,3.0
2002,2022-03,AUT,4.0
2003,2022-04,AUT,8.0
2004,2022-05,AUT,15.0
2005,2022-06,AUT,19.0
