,"freq,nrg_bal,siec,uni",",geo\TIME_PERIOD	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 "
31,"A,NRGSUP,C0000X0350-0370,KTOE,PT	1657.624 	2208.385 	2934.351 	2650.161 	2680.395 	3258.283 	2846.447 	3227.148 	2696.205 	1248.145 	565.735 	195.598 ",
32,"A,NRGSUP,C0000X0350-0370,KTOE,RO	6948.709 	8092.644 	7560.015 	5708.308 	5727.532 	5892.232 	5277.933 	5388.666 	5046.953 	4893.433 	3481.925 	4044.579 ",
33,"A,NRGSUP,C0000X0350-0370,KTOE,RS	7752.569 	8758.448 	7621.410 	7909.813 	6261.011 	7739.946 	7917.648 	7872.652 	7548.933 	7503.656 	7902.413 	6986.368 ",
34,"A,NRGSUP,C0000X0350-0370,KTOE,SE	2139.284 	2159.931 	1940.820 	1986.522 	1932.970 	1980.216 	1906.102 	1910.165 	2011.338 	1857.815 	1478.356 	1658.615 ",
35,"A,NRGSUP,C0000X0350-0370,KTOE,SI	1453.379 	1464.658 	1392.884 	1351.998 	1048.665 	1067.887 	1147.378 	1140.425 	1131.466 	1066.221 	1020.145 	935.215 ",
36,"A,NRGSUP,C0000X0350-0370,KTOE,SK	3897.234 	3703.541 	3476.952 	3450.677 	3424.027 	3279.036 	3222.080 	3376.789 	3339.007 	2729.946 	2304.985 	2823.248 ",
37,"A,NRGSUP,C0000X0350-0370,KTOE,TR	31094.639 	33100.442 	34668.155 	29819.980 	33884.132 	34597.909 	37870.214 	40091.015 	40824.691 	41823.118 	39694.515 	41397.682 ",
38,"A,NRGSUP,C0000X0350-0370,KTOE,UA	38130.913 	41382.985 	42448.739 	41508.770 	35508.976 	29994.798 	29588.829 	25636.938 	27957.212 	25985.907 	22780.559 	: ",
39,"A,NRGSUP,C0000X0350-0370,KTOE,UK	31873.870 	30888.983 	39325.920 	36933.112 	29588.080 	24669.916 	12636.952 	10145.578 	8190.303 	5872.590 	: 	: ",
40,"A,NRGSUP,C0000X0350-0370,KTOE,XK	1674.643 	1622.899 	1532.123 	1555.560 	1355.198 	1557.613 	1687.894 	1418.006 	1434.162 	1504.638 	1543.645 	1567.063 ",
41,"A,NRGSUP,C0350-0370,KTOE,AL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
42,"A,NRGSUP,C0350-0370,KTOE,AT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
43,"A,NRGSUP,C0350-0370,KTOE,BA	: 	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
44,"A,NRGSUP,C0350-0370,KTOE,BE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
45,"A,NRGSUP,C0350-0370,KTOE,BG	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
46,"A,NRGSUP,C0350-0370,KTOE,CY	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
47,"A,NRGSUP,C0350-0370,KTOE,CZ	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
48,"A,NRGSUP,C0350-0370,KTOE,DE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
49,"A,NRGSUP,C0350-0370,KTOE,DK	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
50,"A,NRGSUP,C0350-0370,KTOE,EE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
51,"A,NRGSUP,C0350-0370,KTOE,EL	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
52,"A,NRGSUP,C0350-0370,KTOE,ES	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
53,"A,NRGSUP,C0350-0370,KTOE,EU27_2020	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
54,"A,NRGSUP,C0350-0370,KTOE,FI	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
55,"A,NRGSUP,C0350-0370,KTOE,FR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
56,"A,NRGSUP,C0350-0370,KTOE,GE	: 	: 	: 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
57,"A,NRGSUP,C0350-0370,KTOE,HR	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
58,"A,NRGSUP,C0350-0370,KTOE,HU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
59,"A,NRGSUP,C0350-0370,KTOE,IE	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
60,"A,NRGSUP,C0350-0370,KTOE,IS	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
61,"A,NRGSUP,C0350-0370,KTOE,IT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
62,"A,NRGSUP,C0350-0370,KTOE,LT	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
63,"A,NRGSUP,C0350-0370,KTOE,LU	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
64,"A,NRGSUP,C0350-0370,KTOE,LV	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 	0.000 ",
