geo\TIME_PERIOD,indic,Date,Value
MK,IS-CNG-TJ,2008-04,
MT,IS-CNG-TJ,2008-04,0.0
NL,IS-CNG-TJ,2008-04,135279.0
NO,IS-CNG-TJ,2008-04,23597.0
PL,IS-CNG-TJ,2008-04,50039.0
PT,IS-CNG-TJ,2008-04,14654.0
RO,IS-CNG-TJ,2008-04,47718.0
RS,IS-CNG-TJ,2008-04,
SE,IS-CNG-TJ,2008-04,2895.0
SI,IS-CNG-TJ,2008-04,3332.0
SK,IS-CNG-TJ,2008-04,15313.0
TR,IS-CNG-TJ,2008-04,116041.0
UK,IS-CNG-TJ,2008-04,355178.0
XK,IS-CNG-TJ,2008-04,
AL,IS-CNG-TJ,2008-05,
AT,IS-CNG-TJ,2008-05,18052.0
BE,IS-CNG-TJ,2008-05,33627.0
BG,IS-CNG-TJ,2008-05,10702.0
CY,IS-CNG-TJ,2008-05,0.0
CZ,IS-CNG-TJ,2008-05,16660.0
DE,IS-CNG-TJ,2008-05,234408.0
DK,IS-CNG-TJ,2008-05,11295.0
EE,IS-CNG-TJ,2008-05,2748.0
EL,IS-CNG-TJ,2008-05,12974.0
ES,IS-CNG-TJ,2008-05,127714.0
EU27_2020,IS-CNG-TJ,2008-05,1041214.0
FI,IS-CNG-TJ,2008-05,12648.0
FR,IS-CNG-TJ,2008-05,82341.0
HR,IS-CNG-TJ,2008-05,7246.0
HU,IS-CNG-TJ,2008-05,27045.0
IE,IS-CNG-TJ,2008-05,17979.0
IS,IS-CNG-TJ,2008-05,0.0
IT,IS-CNG-TJ,2008-05,197740.0
LT,IS-CNG-TJ,2008-05,8000.0
LU,IS-CNG-TJ,2008-05,2390.0
LV,IS-CNG-TJ,2008-05,3113.0
ME,IS-CNG-TJ,2008-05,
MK,IS-CNG-TJ,2008-05,
MT,IS-CNG-TJ,2008-05,0.0
NL,IS-CNG-TJ,2008-05,93596.0
NO,IS-CNG-TJ,2008-05,53769.0
PL,IS-CNG-TJ,2008-05,40185.0
PT,IS-CNG-TJ,2008-05,17060.0
RO,IS-CNG-TJ,2008-05,47867.0
RS,IS-CNG-TJ,2008-05,
SE,IS-CNG-TJ,2008-05,1922.0
SI,IS-CNG-TJ,2008-05,2915.0
SK,IS-CNG-TJ,2008-05,10987.0
TR,IS-CNG-TJ,2008-05,115694.0
UK,IS-CNG-TJ,2008-05,297683.0
XK,IS-CNG-TJ,2008-05,
